University,Url
 Abilene Christian University Abilene,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006001&trns_subj_code=&trns_subj_crse=
 Alvin Community College Alvin,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006005&trns_subj_code=&trns_subj_crse=
 Amarillo College Amarillo,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006006&trns_subj_code=&trns_subj_crse=
 Ambassador University Big Sandy,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX001&trns_subj_code=&trns_subj_crse=
 Amberton University Garland,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006140&trns_subj_code=&trns_subj_crse=
 American Coll Of Acupuncture Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=004518&trns_subj_code=&trns_subj_crse=
 American Intercontinental Univ Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX002&trns_subj_code=&trns_subj_crse=
 Angelina College Lufkin,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006025&trns_subj_code=&trns_subj_crse=
 Angelo State University San Angelo,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006644&trns_subj_code=&trns_subj_crse=
 Arlington Baptist College Arlington,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006039&trns_subj_code=&trns_subj_crse=
 Art Institute Of Dallas Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=002680&trns_subj_code=&trns_subj_crse=
 Art Institute Of Houston Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=008271&trns_subj_code=&trns_subj_crse=
 Art Institute of Austin Austin,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=005980&trns_subj_code=&trns_subj_crse=
 Austin College Sherman,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006016&trns_subj_code=&trns_subj_crse=
 Austin Community College Austin,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006759&trns_subj_code=&trns_subj_crse=
 Austin Presbyterian Theol Sem Austin,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=004969&trns_subj_code=&trns_subj_crse=
 Baptist Missnry Assoc Theo Sem Jacksonville,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=007042&trns_subj_code=&trns_subj_crse=
 Bauder Fashion College Arlington,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX003&trns_subj_code=&trns_subj_crse=
 Baylor College Of Dentistry Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006059&trns_subj_code=&trns_subj_crse=
 Baylor College Of Medicine Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX004&trns_subj_code=&trns_subj_crse=
 Baylor University Waco,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006032&trns_subj_code=&trns_subj_crse=
 Bishop College Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX017&trns_subj_code=&trns_subj_crse=
 Blinn College Brenham,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006043&trns_subj_code=&trns_subj_crse=
 Brazosport College Lake Jackson,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006054&trns_subj_code=&trns_subj_crse=
 Bright Divinity School Fort Worth,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX032&trns_subj_code=&trns_subj_crse=
 Brookhaven College@ Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006070&trns_subj_code=&trns_subj_crse=
 Cedar Valley College@ Lancaster,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006148&trns_subj_code=&trns_subj_crse=
